user_id,user_name,start_time,end_time,total_time
473663926538600448,kah221,2025-05-15 21:34:55.410920,2025-05-15 21:35:01.673414,0:00:06.262494
473663926538600448,kah221,2025-05-15 21:35:05.298410,2025-05-15 21:36:24.502337,0:01:19.203927
473663926538600448,kah221,2025-05-15 22:05:22.879054,2025-05-15 22:05:33.970543,0:00:11.091489
473663926538600448,kah221,2025-05-15 22:05:49.412525,2025-05-15 22:05:55.075517,0:00:05.662992
473663926538600448,kah221,2025-05-15 22:05:55.077517,2025-05-15 22:06:00.312012,0:00:05.234495
473663926538600448,kah221,2025-05-15 22:06:00.312012,2025-05-15 22:06:03.818008,0:00:03.505996
473663926538600448,kah221,2025-05-15 22:06:03.818508,2025-05-15 22:06:10.984500,0:00:07.165992
473663926538600448,kah221,2025-05-15 22:08:00.970367,2025-05-15 22:08:05.658862,0:00:04.688495
473663926538600448,kah221,2025-05-15 22:08:09.499357,2025-05-15 22:08:12.780853,0:00:03.281496
473663926538600448,kah221,2025-05-15 22:08:12.781353,2025-05-15 22:08:20.415343,0:00:07.633990
473663926538600448,kah221,2025-05-15 22:08:25.599836,2025-05-15 22:08:30.835329,0:00:05.235493
473663926538600448,kah221,2025-05-15 22:46:03.171565,2025-05-15 23:33:21.801356,0:47:18.629791
473663926538600448,kah221,2025-05-15 23:33:21.801855,2025-05-15 23:33:28.193346,0:00:06.391491
473663926538600448,kah221,2025-05-15 23:33:45.183816,2025-05-15 23:33:48.500810,0:00:03.316994
473663926538600448,kah221,2025-05-15 23:39:43.713198,2025-05-15 23:39:47.685701,0:00:03.972503
473663926538600448,kah221,2025-05-15 23:40:50.667583,2025-05-15 23:53:33.393775,0:12:42.726192
473663926538600448,kah221,2025-05-16 00:00:13.130082,2025-05-16 00:00:19.383571,0:00:06.253489
473663926538600448,kah221,2025-05-16 00:00:19.384071,2025-05-16 00:00:23.303567,0:00:03.919496
473663926538600448,kah221,2025-05-16 00:02:15.524872,2025-05-16 00:14:32.179604,0:12:16.654732
473663926538600448,kah221,2025-05-16 19:20:52.295577,2025-05-16 19:20:55.019790,0:00:02.724213
473663926538600448,kah221,2025-05-16 20:57:57.799660,2025-05-16 20:58:10.094641,0:00:12.294981
473663926538600448,kah221,2025-05-17 01:36:39.750273,2025-05-17 02:01:31.188359,0:24:51.438086
473663926538600448,kah221,2025-05-17 17:58:57.592740,2025-05-17 17:59:02.437211,0:00:04.844471
473663926538600448,kah221,2025-05-17 19:23:58.443841,2025-05-17 19:24:01.114415,0:00:02.670574
473663926538600448,kah221,2025-05-17 19:36:32.165295,2025-05-17 19:36:33.762573,0:00:01.597278
473663926538600448,"kah221,",2025-05-17 21:30:22.090350,2025-05-17 21:30:26.619448,0:00:04.529098
473663926538600448,"kah221""",2025-05-17 21:31:57.124930,2025-05-17 21:31:59.694189,0:00:02.569259
473663926538600448,kah221,2025-05-17 21:40:36.611883,2025-05-17 21:40:44.403581,0:00:07.791698
473663926538600448,kah221,2025-05-17 21:42:06.127510,2025-05-17 21:42:19.653716,0:00:13.526206
473663926538600448,kah221,2025-05-17 23:04:14.971139,2025-05-17 23:05:34.372658,0:01:19.401519
